rank,lemma,PoS,freq,perMil,%caps,%allC,range,disp,blog,web,TVM,spok,fic,mag,news,acad,blogPM,webPM,TVMPM,spokPM,ficPM,magPM,newsPM,acadPM
657,shoot,v,147137,148.17,0.06,0.01,63165,0.98,13592,13920,36079,19837,21632,17802,21170,3105,109.39,108.23,281.70,157.27,182.82,141.18,173.89,25.92
662,stuff,n,145992,147.02,0.03,0.01,70375,0.97,26194,17391,38626,25529,14189,12267,9876,1920,210.81,135.22,301.59,202.39,119.92,97.29,81.12,16.03
668,focus,v,144896,145.91,0.05,0.01,83253,0.96,21261,20075,6486,16944,7663,18897,17078,36492,171.11,156.09,50.64,134.33,64.76,149.87,140.28,304.63
669,short,j,144842,145.86,0.03,0.00,88943,0.98,21210,21414,9854,14277,22541,22120,17032,16394,170.70,166.50,76.94,113.19,190.51,175.43,139.90,136.86
674,point,v,143750,144.76,0.02,0.00,82724,0.97,22985,20264,5261,16905,24593,19215,16886,17641,184.98,157.56,41.08,134.02,207.85,152.39,138.70,147.27
681,truth,n,142017,143.01,0.09,0.01,64199,0.98,24842,26383,25324,16546,16547,12225,8218,11932,199.93,205.13,197.73,131.18,139.85,96.95,67.50,99.61
686,order,n,140025,141.01,0.09,0.01,68533,0.98,16055,22877,16620,12600,13414,16725,15999,25735,129.21,177.87,129.77,99.89,113.37,132.64,131.42,214.83
688,close,j,139704,140.69,0.03,0.01,88168,0.99,16758,16771,16891,18756,20235,18785,17715,13793,134.87,130.40,131.88,148.70,171.02,148.98,145.51,115.14
697,sound,v,138386,139.36,0.12,0.01,76475,0.98,19775,16770,31879,17565,26759,12759,9075,3804,159.15,130.39,248.91,139.25,226.15,101.19,74.54,31.76
703,north,n,137666,138.63,0.66,0.02,65347,0.96,11992,15249,7025,14701,11329,25903,34951,16516,96.51,118.56,54.85,116.55,95.75,205.43,287.09,137.87
705,blood,n,137579,138.42,0.09,0.01,51593,0.98,10382,15938,25978,12203,28261,21238,9799,13660,83.55,123.92,202.84,96.75,238.85,168.43,80.49,114.03
712,close,v,136431,137.39,0.08,0.02,74403,0.96,12373,13032,19180,14342,39880,12822,18596,6205,99.58,101.33,149.76,113.70,337.05,101.69,152.75,51.80
725,earth,n,134202,135.14,0.55,0.01,49455,0.97,17233,26886,17969,7351,22024,24021,7465,11253,138.69,209.05,140.30,58.28,186.14,190.51,61.32,93.94
726,cause,n,133998,134.94,0.16,0.01,62567,0.98,13659,16897,45459,14436,6631,12241,9007,15668,109.93,131.38,354.94,114.45,56.04,97.08,73.98,130.80
733,other,p,132728,133.66,0.01,0.01,71746,0.98,14655,15583,21591,15595,27295,15497,11633,10879,117.94,121.16,168.58,123.64,230.68,122.90,95.55,90.82
750,enjoy,v,129575,130.49,0.07,0.01,78092,0.97,25965,23031,15287,10001,12939,18848,14268,9236,208.97,179.07,119.36,79.29,109.35,149.48,117.20,77.10
759,store,n,127984,128.88,0.08,0.01,56303,0.97,18916,15494,11471,12040,15952,22607,26724,4780,152.24,120.47,89.57,95.45,134.82,179.29,219.51,39.90
768,board,n,127202,128.10,0.24,0.01,55743,0.96,16304,16762,7083,9761,8677,18341,34630,15644,131.22,130.33,55.30,77.38,73.33,145.46,284.45,130.59
778,state,v,125064,125.94,0.12,0.01,62715,0.94,23208,24825,2780,8418,2800,11038,18884,33111,186.78,193.02,21.71,66.74,23.66,87.54,155.11,276.41
779,place,v,124900,125.78,0.10,0.01,72856,0.96,13264,17091,6888,6414,16975,23881,17783,22604,106.75,132.89,53.78,50.85,143.46,189.39,146.07,188.70
794,floor,n,122291,123.15,0.03,0.01,55999,0.94,8933,10388,12544,9734,44329,17362,14084,4917,71.89,80.77,97.94,77.17,374.65,137.69,115.69,41.05
801,south,n,120894,121.74,0.62,0.01,58444,0.96,10587,12960,7119,13187,10288,20538,31453,14762,85.20,100.77,55.58,104.55,86.95,162.88,258.36,123.23
814,press,n,119485,120.32,0.41,0.02,55611,0.94,11519,12990,5402,20862,4660,17131,21224,25697,92.71,101.00,42.18,165.39,39.38,135.86,174.34,214.52
815,worry,v,119256,120.09,0.02,0.01,69126,0.98,11881,9888,37516,16382,17408,11153,11758,3270,95.62,76.88,292.92,129.88,147.12,88.45,96.58,27.30
817,enter,v,119119,119.96,0.06,0.01,70638,0.97,12979,18848,7319,7483,21841,16854,16693,17102,104.46,146.55,57.15,59.33,184.59,133.67,137.12,142.77
819,sound,n,119028,119.86,0.10,0.02,54818,0.95,9996,15507,10585,9651,36317,15270,9685,12017,80.45,120.57,82.65,76.51,306.93,121.10,79.55,100.32
821,plant,n,118323,119.15,0.06,0.01,32944,0.94,10978,13274,4686,7575,7213,33800,18666,22131,88.35,103.21,36.59,60.05,60.96,268.06,153.32,184.75
